UNI_ID,PRICE,POLL_DIV_CO,OS_NM,VAN_ADR,NEW_ADR,GIS_X_COOR,GIS_Y_COOR,AREA_NM
A0032989,1599,GSC,(주)남현주유소,전남 나주시 금천면 신가리 458-6,전남 나주시 금천면 빛가람장성로 2055,288550.15809,272524.12458,전남
A0021054,1633,HDO,㈜대원 노안제일주유소,전남 나주시 노안면 도산리 69,전남 나주시 노안면 건재로 683,287211.39630,275966.43830,전남
A0021189,1633,SOL,㈜대원 동신주유소,전남 나주시 대호동 867,전남 나주시 건재로 89 (대호동),282974.00000,272336.00000,전남
A0019684,1634,RTX,시카프관광개발(주) 곡성(순천)주유소,전남 곡성군 겸면 가정리 348-13,전남 곡성군 겸면 호남고속도로 49-1,323024.12549,295806.18610,전남
A0020789,1635,RTO,세지예향주유소,전남 나주시 세지면 송제리 790-13,전남 나주시 세지면 예향로 3014,282217.29256,259557.68420,전남
A0021161,1639,HDO,대흥주유소,전남 나주시 세지면 죽동리 204-5,전남 나주시 세지면 예향로 3174,282611.00000,261093.00000,전남
A0020046,1645,RTX,백양사(순천)주유소/충전소,전남 장성군 북일면 박산리 산68-3,전남 장성군 북이면 호남고속도로 107-1,291720.81309,311108.39353,전남
A0033507,1645,RTX,장흥 정남진주유소,전남 장흥군 부산면 호계리 산 211-1,전남 장흥군 부산면 남해고속도로 41,302226.86351,236284.43589,전남
A0019865,1645,RTO,공원주유소,전남 장성군 북이면 사거리 609번지,전남 장성군 북이면 방장로 995,292163.90000,315342.90000,전남
A0020890,1649,GSC,OK주유소,전남 영암군 삼호읍 서창리 435-4,전남 영암군 삼호읍 녹색로 1627,266072.00000,238168.00000,전남
A0020729,1649,GSC,대영주유소,전남 영암군 삼호읍 서창리 146,전남 영암군 삼호읍 녹색로 1776,267432.82320,237554.39070,전남
A0019398,1649,GSC,천운주유소,전남 화순군 화순읍 대리 355,전남 화순군 화순읍 칠충로 7,306529.90000,273222.60000,전남
A0020264,1649,GSC,함평나비주유소,전남 함평군 해보면 해보리 212-27,전남 함평군 해보면 영광로 2538,272212.00000,287468.00000,전남
A0020863,1649,RTO,삼호주유소,전남 영암군 삼호읍 망산리 653-7,전남 영암군 삼호읍 녹색로 1530,265143.00000,238221.00000,전남
A0009925,1649,RTX,함평천지(서울방향)주유소/충전소,전남 함평군 손불면 죽암리 46,전남 함평군 손불면 서해안고속도로 38,261822.42790,282538.38330,전남
