구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2024년02월19일,1888.85,1625.02,1527.80,1362.41
2024년02월20일,1890.45,1627.74,1530.36,1362.94
2024년02월21일,1891.52,1629.43,1531.75,1363.35
2024년02월22일,1892.59,1630.89,1533.00,1363.71
2024년02월23일,1895.09,1632.41,1534.43,1364.10
2024년02월24일,1894.80,1633.29,1535.15,1364.47
2024년02월25일,1894.98,1633.74,1535.47,1364.65
2024년02월26일,1896.25,1634.84,1536.69,1364.83
2024년02월27일,1896.56,1635.57,1537.39,1364.89
2024년02월28일,1896.84,1636.15,1537.92,1365.18
2024년02월29일,1897.09,1636.72,1538.27,1364.98
2024년03월01일,1897.28,1637.44,1538.71,1365.59
2024년03월02일,1896.23,1637.74,1538.85,1365.44
2024년03월03일,1896.22,1638.10,1539.03,1365.52
2024년03월04일,1897.99,1638.95,1540.04,1365.66
2024년03월05일,1898.33,1639.39,1540.41,1365.89
2024년03월06일,1898.43,1639.52,1540.52,1365.93
2024년03월07일,1898.77,1639.47,1540.55,1365.96
2024년03월08일,1898.25,1639.52,1540.40,1366.06
2024년03월09일,1896.83,1639.18,1540.00,1366.27
2024년03월10일,1897.33,1639.26,1539.86,1366.18
2024년03월11일,1898.36,1639.59,1540.23,1366.27
2024년03월12일,1898.16,1639.44,1539.94,1366.31
2024년03월13일,1898.03,1638.99,1539.49,1366.17
2024년03월14일,1897.44,1638.50,1539.10,1366.17
2024년03월15일,1896.97,1638.33,1538.84,1365.94
2024년03월16일,1896.05,1637.92,1538.40,1365.79
2024년03월17일,1895.73,1637.88,1538.09,1365.86
2024년03월18일,1896.92,1638.22,1538.60,1365.83
2024년03월19일,1896.96,1637.78,1537.93,1365.45
2024년03월20일,1897.35,1638.05,1538.10,1365.50
2024년03월21일,1897.59,1638.31,1538.15,1365.55
2024년03월22일,1897.59,1638.66,1538.30,1365.33
2024년03월23일,1896.24,1638.43,1537.77,1365.22
2024년03월24일,1896.50,1638.46,1537.60,1364.96
2024년03월25일,1897.94,1638.97,1538.26,1364.88
2024년03월26일,1899.24,1639.57,1538.26,1364.67
2024년03월27일,1899.44,1640.07,1538.43,1364.69
2024년03월28일,1899.93,1640.44,1538.28,1364.60
2024년03월29일,1901.68,1641.08,1538.45,1364.72
2024년03월30일,1901.12,1642.15,1538.70,1365.20
2024년03월31일,1901.43,1642.77,1538.86,1364.97
2024년04월01일,1903.87,1644.42,1539.66,1364.94
2024년04월02일,1904.92,1645.97,1540.12,1364.92
2024년04월03일,1907.33,1648.70,1540.52,1364.92
2024년04월04일,1911.05,1652.94,1541.82,1364.89
2024년04월05일,1916.27,1658.16,1543.91,1364.91
2024년04월06일,1918.00,1662.55,1545.69,1365.14
2024년04월07일,1919.18,1665.23,1546.75,1365.33
2024년04월08일,1922.75,1669.72,1549.48,1365.73
2024년04월09일,1924.77,1674.74,1552.18,1366.40
2024년04월10일,1926.32,1677.48,1553.70,1366.62
2024년04월11일,1927.24,1679.08,1554.39,1366.53
2024년04월12일,1928.46,1682.28,1556.11,1367.07
2024년04월13일,1929.76,1685.38,1557.37,1367.40
2024년04월14일,1930.78,1687.39,1558.27,1367.29
2024년04월15일,1933.90,1691.52,1560.77,1367.81
2024년04월16일,1938.80,1695.55,1562.85,1367.76
2024년04월17일,1942.53,1699.10,1564.39,1368.05
2024년04월18일,1944.93,1701.69,1565.48,1368.15
2024년04월19일,1946.96,1704.14,1566.31,1368.55
2024년04월20일,1948.57,1705.67,1566.46,1368.89
2024년04월21일,1949.46,1706.47,1566.61,1368.87
2024년04월22일,1950.18,1707.25,1566.71,1369.09
2024년04월23일,1950.47,1708.08,1566.58,1369.25
2024년04월24일,1950.60,1709.56,1566.85,1369.17
2024년04월25일,1952.42,1710.47,1566.90,1369.16
2024년04월26일,1953.17,1711.28,1566.87,1369.07
2024년04월27일,1952.80,1711.59,1566.52,1368.78
2024년04월28일,1953.09,1711.94,1566.42,1368.71
2024년04월29일,1954.01,1712.73,1566.79,1368.94
2024년04월30일,1954.18,1712.97,1566.61,1368.69
2024년05월01일,1955.16,1713.47,1565.91,1368.47
2024년05월02일,1955.01,1713.56,1565.53,1368.06
2024년05월03일,1955.01,1713.39,1564.75,1368.50
2024년05월04일,1950.70,1712.67,1563.41,1368.01
2024년05월05일,1950.68,1712.64,1562.77,1367.45
2024년05월06일,1951.42,1712.71,1562.47,1367.55
2024년05월07일,1953.20,1712.20,1561.64,1367.38
2024년05월08일,1951.91,1711.12,1559.69,1367.36
2024년05월09일,1951.58,1709.94,1557.31,1366.98
2024년05월10일,1950.46,1708.38,1555.02,1366.40
2024년05월11일,1946.78,1706.80,1552.59,1366.28
2024년05월12일,1946.47,1706.13,1551.45,1365.95
2024년05월13일,1949.24,1704.93,1549.40,1365.98
